SpinCore Single Pulse NMR & NQR Experiment
ADC Frequency (MHz): 75.00
Blanking Bit: 2.0
Blanking Delay (ms): 3.000
Amplitude: 1.00
Spectrometer Frequency (MHz): 29.9015
Spectral Width (kHz): 3000.00
Number of Scans: 
Pulse-Width (us): 1.5
Pulse Phase (Degrees): 0.00
Transient Delay (us): 20.0
Repetition Delay (s): 0.1
Number of Acquisition Points: 16384.0
BYPASS FIR: YES
Shape: Hard
CYCLOPS: Yes
 
Frequency (kHz), Power Spectral Density Data
-1362.6709, 27652.2909
-1362.4878, 50210.8304
-1362.3047, 30971.1775
-1362.1216, 14996.3080
-1361.9385, 11892.1320
-1361.7554, 62326.5546
-1361.5723, 44917.2021
-1361.3892, 19544.8818
-1361.2061, 25879.7093
-1361.0229, 11239.5251
-1360.8398, 46331.1710
-1360.6567, 93194.9600
-1360.4736, 39167.8287
-1360.2905, 57911.2143
-1360.1074, 58386.0729
-1359.9243, 50632.5860
-1359.7412, 11085.5078
-1359.5581, 3261.6648
-1359.3750, 32301.7476
-1359.1919, 75562.9971
-1359.0088, 74021.6381
-1358.8257, 19858.5833
-1358.6426, 103959.7500
-1358.4595, 43164.2997
-1358.2764, 60500.8195
-1358.0933, 31901.0326
-1357.9102, 57009.6553
-1357.7271, 73248.8260
-1357.5439, 62742.0635
-1357.3608, 51401.5395
-1357.1777, 19416.5057
-1356.9946, 51792.6876
-1356.8115, 28527.1446
-1356.6284, 46503.5593
-1356.4453, 107938.3222
-1356.2622, 74471.5453
-1356.0791, 74456.2556
-1355.8960, 47461.8146
-1355.7129, 71725.3739
-1355.5298, 15850.9252
-1355.3467, 29606.9327
-1355.1636, 26188.5779
-1354.9805, 11295.4410
-1354.7974, 11778.8880
-1354.6143, 36424.3107
-1354.4312, 57727.8567
-1354.2480, 54412.1471
-1354.0649, 8190.2855
-1353.8818, 70896.2073
-1353.6987, 61238.8268
-1353.5156, 35545.2564
-1353.3325, 59313.6980
-1353.1494, 43636.1146
-1352.9663, 67023.6185
-1352.7832, 44241.5122
-1352.6001, 26168.7054
-1352.4170, 24877.2757
-1352.2339, 60863.3383
-1352.0508, 72641.7678
-1351.8677, 100734.5908
-1351.6846, 63933.0926
-1351.5015, 28895.0689
-1351.3184, 44415.0199
-1351.1353, 46520.5266
-1350.9521, 25316.3424
-1350.7690, 31507.5565
-1350.5859, 49509.8426
-1350.4028, 37287.3291
-1350.2197, 35671.1220
-1350.0366, 94777.2508
-1349.8535, 47884.7873
-1349.6704, 65691.2616
-1349.4873, 68031.9889
-1349.3042, 61868.1203
-1349.1211, 53823.7464
-1348.9380, 69047.8981
-1348.7549, 11084.8921
-1348.5718, 12603.8446
-1348.3887, 4784.2093
-1348.2056, 18955.4868
-1348.0225, 31482.8500
-1347.8394, 66230.0621
-1347.6562, 76840.5050
-1347.4731, 33067.5173
-1347.2900, 29404.6141
-1347.1069, 36669.2516
-1346.9238, 58688.6316
-1346.7407, 117631.6466
-1346.5576, 38181.8260
-1346.3745, 54214.0763
-1346.1914, 115269.4140
-1346.0083, 31081.2041
-1345.8252, 75055.7071
-1345.6421, 27945.8171
-1345.4590, 7279.5372
-1345.2759, 104104.3296
-1345.0928, 81333.4373
-1344.9097, 79610.4613
-1344.7266, 45895.9904
-1344.5435, 49625.9591
-1344.3604, 39733.8107
